Area (sqft),Living Area (sqft),Bedrooms,Bathrooms,Garage,Age of House (years),Location Score,Price (INR),Number of Floors
1475,1154,2,3,0,19,9,7907500,1
1217,767,1,1,0,27,7,5786500,1
3061,2622,4,3,0,12,10,15834500,3
1965,1687,5,3,0,23,2,10582500,1
1843,1364,4,1,1,27,7,9653500,2
1502,1183,4,2,0,27,7,8169000,4
762,608,2,2,1,4,4,4699000,2
2574,1690,4,1,0,21,8,12963000,1
869,550,2,3,0,19,4,4930500,3
1231,746,5,2,0,29,7,7209500,4
1505,1315,5,1,1,20,4,8422500,1
2614,1839,2,1,1,9,8,12933000,1
2241,1402,1,3,1,15,3,10984500,3
804,594,5,2,1,7,2,5628000,3
1181,735,1,1,1,11,10,6244500,2
2179,1363,5,2,0,24,6,11525500,4
1440,1075,5,1,0,2,7,8490000,4
2436,1833,3,1,1,25,7,12062000,3
1851,1432,4,1,1,3,6,10119500,2
2319,1847,4,3,0,16,8,12315500,4
2242,1794,1,3,0,26,6,10769000,3
3243,2367,4,3,1,20,6,16443500,1
2897,2297,1,2,1,19,3,13656500,4
1474,1019,5,3,0,21,2,8413000,2
2064,1511,3,3,1,21,7,10868000,2
2843,2041,3,2,0,12,6,14153500,2
1289,900,5,2,1,25,1,7400500,1
2610,1752,2,2,1,5,2,12895000,4
3286,2048,2,2,0,2,2,15847000,4
2022,1520,4,3,0,13,1,10689000,1
2601,1979,1,3,1,6,3,12784500,4
1271,890,3,2,0,2,5,7229500,1
1771,1581,4,3,1,5,4,10019500,1
2095,1607,5,1,1,28,2,10817500,1
1543,1337,3,3,0,12,8,8603500,2
2846,2194,1,1,0,13,9,13497000,4
2049,1346,1,2,0,14,8,10040500,1
3139,2801,2,2,1,25,7,15125500,4
1495,1294,4,3,0,15,10,8727500,2
2789,2067,5,2,0,0,2,14550500,1
1936,1302,3,3,0,14,6,10232000,3
764,509,1,3,1,29,4,4108000,2
2961,2492,3,3,0,23,5,14614500,3
2668,1656,5,3,0,6,9,14436000,4
1705,1349,3,1,0,27,9,8682500,4
2353,1863,4,1,0,8,4,12028500,2
2952,1932,2,2,1,14,8,14554000,4
2538,2059,3,1,1,13,5,12661000,3
970,787,2,2,1,18,9,5605000,1
2480,1748,5,2,1,27,2,12770000,1
1452,1081,2,3,0,23,4,7474000,1
983,835,3,3,1,17,3,5883500,2
2531,1915,3,3,0,8,7,13079500,4
3092,2428,1,3,1,0,2,15064000,3
1024,741,3,3,0,11,3,6038000,4
2808,1810,2,3,0,9,9,14106000,4
1228,1104,1,1,0,6,8,6306000,4
1494,1134,3,2,1,13,2,8013000,1
3137,2198,3,2,1,25,6,15366500,3
2974,2421,5,3,1,29,3,15203000,3
1197,941,1,1,0,0,6,6186500,4
2936,1966,5,3,1,14,5,15432000,1
1192,1028,5,1,0,21,10,7144000,1
2287,1420,5,1,1,0,4,12341500,3
1172,916,4,2,1,12,7,7134000,1
2675,1988,5,2,1,19,10,14207500,1
2690,1870,2,1,1,22,7,12965000,1
2304,1953,3,2,1,1,4,11998000,2
3070,2446,4,1,0,2,3,15325000,4
776,642,5,1,1,3,4,5482000,3
1128,817,3,1,1,15,2,6126000,3
2233,1971,1,2,1,21,4,10678500,2
1565,1100,1,3,0,28,4,7582500,4
2117,1607,3,2,1,11,5,11006500,3
797,701,2,3,1,24,1,4506500,1
3257,2035,3,2,0,3,2,15996500,3
3489,2207,3,2,1,21,8,17130500,1
1452,1304,4,3,0,11,8,8514000,2
2137,1904,1,1,0,6,8,10396500,1
2669,2219,1,3,1,19,5,12930500,3
1680,1252,5,1,0,21,8,9240000,3
3489,2623,3,1,1,2,9,17360500,3
697,471,3,2,0,4,4,4556500,2
2503,1826,2,2,1,11,4,12393500,2
1034,754,1,2,0,11,7,5483000,4
1236,754,2,2,0,26,5,6292000,3
1187,873,4,2,0,25,10,6941500,1
943,701,5,3,1,19,1,6163500,2
1917,1533,2,3,0,22,8,9786500,3
2579,1946,1,3,1,21,4,12435500,3
1170,1004,4,3,1,6,8,7495000,2
1210,859,3,2,0,21,2,6425000,4
2327,1682,4,3,1,11,4,12401500,2
2890,2229,2,3,1,1,2,14435000,2
2454,1621,1,1,0,13,5,11533000,1
3208,2303,2,2,1,22,10,15646000,1
1559,1256,3,3,1,15,10,8865500,4
2679,1938,3,3,0,23,8,13495500,3
3038,2649,1,3,0,6,7,14801000,2
2924,2294,5,2,0,3,5,15248000,4
1131,730,4,3,0,19,7,6859500,1
1777,1326,4,1,1,27,5,9256500,2
3030,2513,3,2,1,4,7,15355000,3
1691,1340,2,1,1,13,4,8499500,1
2501,2164,2,2,0,8,4,12294500,1
1483,1223,5,3,1,4,10,9343500,1
2861,1769,2,2,0,1,4,14054500,4
2278,1443,4,2,1,4,8,12321000,3
3023,2403,2,2,0,28,1,14093500,2
3391,2277,5,1,1,2,10,17569500,4
2860,2220,4,2,1,9,5,14690000,4
2726,2283,2,3,0,7,10,13827000,4
2349,1815,4,2,1,25,2,11920500,1
3275,2373,3,2,1,9,10,16507500,3
3251,2580,3,3,1,28,4,15919500,4
1381,888,3,3,1,1,5,8094500,2
3327,2718,2,1,0,13,8,15911500,3
2705,2188,5,3,1,26,2,14002500,2
1480,1116,4,3,0,3,2,8500000,3
1046,715,1,3,0,20,2,5307000,2
2713,2276,3,2,0,11,8,13688500,1
2383,1794,3,1,1,19,3,11743500,4
1877,1159,1,3,0,28,5,9036500,2
2591,2268,1,3,0,13,2,12399500,3
1667,1384,2,3,0,15,6,8701500,4
2177,1688,4,2,1,4,10,11966500,4
1611,1177,3,2,1,25,6,8499500,3
2874,2552,5,1,0,15,2,14433000,2
1373,1143,2,1,0,26,4,6658500,1
3326,2529,2,2,1,28,2,15657000,1
2414,1921,5,3,0,3,10,13403000,2
3248,2222,5,3,1,28,4,16506000,4
3026,1993,5,1,0,2,7,15627000,4
1801,1228,1,3,1,0,5,9404500,4
2050,1410,3,2,1,29,10,10595000,4
3356,2758,1,1,1,3,4,15892000,2
906,581,3,2,0,8,10,5717000,4
1378,1148,1,2,0,0,10,7401000,3
3151,2385,4,3,1,15,3,15979500,4
2915,2085,3,2,1,22,6,14427500,1
607,418,2,2,0,2,2,3791500,4
3155,2378,3,3,1,23,4,15587500,2
1075,747,3,2,0,5,8,6437500,1
1920,1399,3,3,1,12,2,10150000,2
2811,2309,4,2,1,16,9,14529500,2
1084,853,1,3,0,14,2,5598000,1
3214,2649,2,3,0,25,8,15563000,2
1504,1224,1,1,1,20,8,7418000,2
1158,977,1,2,0,29,7,5681000,4
2567,1695,5,2,1,11,10,13881500,3
2885,2592,4,1,0,28,6,14122500,2
1727,1282,5,3,1,7,1,9931500,2
1833,1494,4,3,0,26,2,9628500,2
3201,2571,1,1,0,15,7,14954500,4
3475,2675,1,1,1,2,4,16447500,3
1067,958,4,3,1,27,9,6661500,1
3033,2017,1,3,1,27,3,14308500,4
3422,2486,1,1,1,3,4,16189000,4
1447,923,2,2,1,6,3,7691500,3
3034,1985,5,3,1,14,7,15973000,3
858,698,5,1,0,10,2,5461000,4
882,530,5,2,1,15,10,6219000,1
2249,1949,3,2,1,21,2,11250500,4
2498,1973,2,2,1,13,2,12231000,3
639,467,5,2,1,22,4,4685500,1
3133,2191,5,1,0,12,8,15958500,3
2867,1828,2,3,1,8,8,14491500,1
1614,1414,1,2,1,24,8,8033000,2
1212,986,5,2,0,17,8,7414000,3
2515,1762,1,1,0,2,7,12127500,3
1287,799,5,2,1,19,6,7761500,4
1212,845,4,1,0,21,7,6784000,3
2907,1905,3,1,1,4,5,14501500,3
3013,2518,5,3,0,21,8,15638500,2
2381,1942,4,2,0,26,2,11894500,3
2410,1806,2,3,0,23,5,11835000,2
3191,2762,4,1,0,1,7,16089500,2
3296,2156,2,2,0,21,9,15862000,2
2147,1579,5,1,1,24,10,11531500,2
2530,2057,2,1,1,20,1,11985000,1
3461,2146,4,1,0,16,9,17104500,4
1752,1247,3,2,0,15,3,9034000,1
1174,905,1,1,0,28,1,5273000,3
2510,1782,1,1,1,23,7,11835000,1
1612,1199,3,2,1,19,3,8474000,1
1269,992,1,3,1,23,8,6700500,3
868,616,5,1,0,12,2,5466000,3
1883,1189,5,3,1,19,4,10543500,3
1523,977,4,3,0,10,2,8553500,1
1725,1307,4,3,0,7,4,9622500,1
2129,1389,2,3,0,24,1,10350500,3
2358,2044,4,3,0,20,10,12511000,4
2194,1865,5,3,1,4,5,12293000,4
846,596,4,2,1,1,3,5687000,2
2160,1834,1,2,0,24,9,10390000,3
2778,2111,2,3,0,26,4,13381000,2
3000,1943,2,2,0,3,6,14740000,4
2843,2229,5,2,0,2,9,15103500,2
2539,2040,4,3,0,1,2,13305500,3
1529,955,1,3,0,2,7,8090500,3
3292,2285,4,1,1,15,3,16214000,3
826,496,3,2,1,19,1,4837000,1
3348,2326,4,3,1,8,9,17306000,2
864,605,5,2,0,5,9,6138000,4
1995,1574,4,2,1,25,4,10427500,4
2057,1357,2,2,1,14,9,10576500,4
1245,758,1,1,1,4,7,6522500,1
2858,1985,5,3,1,28,4,14751000,1
2018,1710,3,2,1,8,2,10471000,3
2073,1492,1,3,0,23,5,10018500,4
1987,1439,1,2,0,5,8,9941500,1
2499,1851,2,3,0,2,10,12905500,3
3104,2562,2,3,1,22,10,15378000,4
3372,2508,2,3,0,12,6,16434000,2
1849,1160,5,2,1,25,5,10120500,3
1581,1046,4,1,0,21,4,8294500,1
1754,1151,1,3,1,27,6,8703000,1
1187,893,4,1,1,14,3,6761500,3
1075,654,4,3,0,10,2,6537500,3
2421,1658,2,1,0,29,1,11164500,1
1585,1239,4,3,1,15,9,9232500,2
2803,1980,1,1,1,14,1,13033500,4
1841,1495,1,3,0,23,4,8924500,2
789,566,3,3,0,27,6,4810500,3
2040,1823,5,1,1,5,9,11380000,2
1580,1405,4,3,0,13,4,8850000,1
2298,1930,5,2,0,10,7,12391000,3
2315,2051,5,3,0,25,7,12367500,4
3193,2111,5,3,0,19,6,16388500,1
640,528,5,2,1,9,9,5200000,1
2954,2057,1,2,1,15,10,14343000,4
1542,1260,4,2,1,11,7,8819000,4
937,667,3,1,0,6,3,5346500,2
1937,1330,5,2,1,6,6,10946500,3
1698,1507,3,1,1,26,7,8721000,4
2926,1939,1,2,0,23,7,13757000,4
1495,1237,1,1,0,17,6,7187500,3
2920,2343,2,2,1,14,3,14160000,4
3484,2407,5,2,1,26,6,17508000,4
3267,2409,2,3,0,5,2,15901500,2
2274,1461,3,2,0,29,10,11453000,1
1530,1340,4,3,0,18,1,8375000,1
888,790,2,2,0,7,8,5256000,1
1323,1084,1,2,0,19,3,6423500,1
2919,2495,5,3,1,14,8,15505500,4
2553,1595,3,3,1,29,3,12708500,3
1689,1207,1,1,1,3,2,8290500,3
1082,756,4,3,1,17,8,6879000,2
1535,1181,5,1,0,12,3,8517500,2
2895,1896,4,2,0,21,8,14607500,4
755,580,4,3,1,21,2,5027500,3
1670,1329,5,3,0,0,4,9815000,3
2558,1636,5,2,1,27,9,13471000,1
3101,1983,4,2,1,7,1,15614500,4
2848,1739,3,2,1,18,2,14006000,4
2283,1890,5,2,1,16,2,12103500,1
723,505,1,3,1,9,9,4573500,4
2648,1767,2,2,1,0,10,13566000,4
1567,1305,3,2,0,0,5,8601500,2
1454,934,5,3,0,20,4,8443000,3
1239,902,5,1,1,4,10,7845500,4
2838,2336,3,3,1,0,10,14921000,2
2202,1700,2,1,1,20,4,10659000,3
3163,2423,4,2,0,22,7,15743500,1
1041,673,1,3,0,20,3,5334500,2
2544,1664,5,2,0,24,9,13318000,2
2438,1888,2,3,1,19,5,12191000,3
2429,1474,1,1,0,12,9,11640500,1
2790,2401,3,3,1,8,1,14095000,2
1132,798,5,2,0,15,10,7194000,4
2874,2083,4,3,1,27,8,14743000,4
1936,1311,3,2,1,7,2,10122000,4
1548,1335,5,3,1,13,8,9356000,1
2619,2076,2,1,0,28,4,12225500,2
1059,778,1,3,0,16,2,5445500,4
1150,891,1,3,0,28,2,5615000,1
992,708,5,3,1,3,6,6954000,4
2387,1765,3,3,1,6,3,12421500,3
1444,1021,4,1,0,16,10,8078000,2
2857,2066,2,2,0,27,3,13466500,2
1738,1207,5,3,1,23,9,10061000,1
1245,775,2,3,1,15,5,6902500,1
2866,1751,1,3,0,13,7,13887000,2
3054,1991,4,1,1,15,5,15243000,4
2066,1395,2,2,0,26,2,9877000,4
1977,1714,5,2,0,1,8,11176500,3
3205,2510,4,3,1,23,9,16362500,4
3197,2837,3,3,0,14,2,15706500,1
741,520,5,2,0,10,2,5134500,1
3259,2348,2,3,1,12,4,15975500,4
1100,897,4,3,0,3,8,7090000,1
1439,1112,5,3,0,23,5,8365500,2
3349,2539,4,1,1,0,5,16870500,2
2282,1763,4,1,1,14,7,11889000,4
2165,1678,4,2,0,11,4,11322500,2
2646,2195,2,1,0,20,9,12757000,2
2130,1704,5,1,1,8,4,11475000,3
1195,1060,1,2,1,6,8,6507500,3
2504,2214,1,1,0,2,3,11878000,2
880,639,2,2,0,15,6,4960000,4
1023,624,2,3,0,3,1,5793500,3
869,524,4,2,0,25,7,5360500,1
753,479,5,2,1,22,7,5348500,1
3261,2029,5,2,1,13,2,16564500,1
2350,1673,3,3,1,21,5,12055000,4
1261,776,3,3,1,12,4,7284500,2
2567,2021,1,3,0,28,10,12391500,1
682,448,3,2,1,19,9,4589000,4
2049,1545,3,2,0,18,2,10260500,3
1898,1197,1,2,0,26,3,8871000,2
2931,2486,1,2,1,1,1,14069500,3
1579,1316,3,2,1,9,10,8875500,4
2820,2018,5,2,0,27,5,14300000,1
3410,2977,3,2,1,24,3,16465000,1
2259,1481,4,1,0,18,4,11405500,4
1998,1686,4,3,0,14,4,10711000,1
1232,940,4,1,1,6,6,7274000,2
2131,1489,2,3,0,14,10,11009500,4
1386,866,4,2,1,16,7,8017000,3
997,649,5,1,1,23,7,6226500,4
1743,1496,2,2,1,15,8,9093500,2
1533,1198,2,1,0,16,3,7528500,2
2060,1382,4,1,1,27,5,10530000,4
2452,1835,3,2,0,15,10,12534000,4
3323,2101,1,1,1,17,6,15563500,1
3112,1959,3,1,0,16,6,15084000,2
885,772,3,3,0,3,8,5822500,4
864,637,2,2,0,1,5,5118000,4
2967,2102,2,2,0,16,5,14281500,2
3320,2937,2,1,0,16,1,15470000,4
3467,2495,5,2,1,1,1,17681500,1
2736,1917,5,3,0,21,6,14292000,2
2277,1552,1,3,1,1,10,11776500,1
1826,1405,2,2,1,28,10,9307000,1
1420,1089,4,2,1,14,5,8110000,1
2362,1428,2,3,1,28,10,11919000,1
2981,2373,5,2,0,27,6,15074500,2
2869,2399,2,1,1,27,9,13770500,1
640,502,5,2,1,15,8,5030000,1
2331,2006,2,1,1,10,7,11589500,4
667,455,4,3,1,28,7,4741500,2
1587,1043,1,2,1,1,6,8271500,2
2399,1941,4,3,1,7,6,12905500,3
3161,2075,5,2,0,20,1,15774500,2
2221,1393,3,1,0,29,7,10864500,2
2255,1418,4,2,0,23,5,11537500,3
1878,1559,2,3,1,11,7,9931000,2
1294,787,1,1,1,13,6,6513000,2
3124,2145,2,2,1,27,8,15068000,2
1685,1076,2,3,0,13,3,8672500,2
3079,2544,4,3,1,23,8,15745500,3
2293,1722,1,2,1,11,7,11298500,2
2915,1928,3,3,0,1,1,14647500,2
1658,1368,2,1,1,13,3,8301000,3
1378,1137,1,2,0,22,10,6961000,4
1093,827,3,1,1,24,4,5888500,1
2185,1491,2,3,1,11,9,11412500,4
2092,1623,1,3,1,23,6,10304000,3
2390,2103,4,3,0,28,7,12345000,1
1260,775,2,1,1,8,5,6710000,3
1948,1324,2,3,0,28,3,9556000,3
1927,1320,1,2,1,7,5,9631500,2
1899,1499,2,2,0,19,7,9515500,1
2586,2056,3,3,1,15,9,13437000,2
2644,1750,2,2,0,9,9,13168000,1
2528,1680,5,1,0,6,8,13356000,3
1947,1710,3,1,1,14,5,9981500,3
1658,1370,1,3,0,24,7,8231000,4
1576,1387,3,2,0,8,4,8432000,1
1081,917,5,2,0,3,10,7204500,2
1327,956,5,3,1,22,5,8031500,4
3127,1990,2,1,0,5,4,14971500,4
1631,1286,2,3,1,27,3,8299500,4
942,664,4,2,0,11,1,5669000,2
2047,1489,3,2,0,14,5,10481500,4
2979,2168,4,3,0,18,2,14945500,2
3085,2717,5,1,0,25,6,15382500,4
2821,1750,2,1,1,21,5,13474500,2
3206,2109,2,3,1,23,2,15417000,3
1126,880,2,2,0,1,8,6447000,3
2496,2159,1,1,1,27,5,11592000,3
1258,1101,5,3,1,18,2,7651000,3
2673,2051,2,2,0,23,1,12618500,3
1419,866,5,1,0,19,2,7805500,4
3252,2305,2,1,0,19,1,15104000,4
1005,880,3,3,0,1,10,6502500,4
2879,2159,5,2,0,14,10,15075500,2
3180,2601,4,1,0,26,3,15340000,2
2173,1479,1,3,1,25,3,10478500,2
2411,1464,4,1,0,11,10,12529500,2
1104,853,5,2,0,28,1,6358000,3
778,661,2,1,0,0,7,4651000,3
731,655,5,2,1,22,10,5399500,3
2446,2088,1,1,0,13,7,11597000,1
2078,1592,5,1,1,3,9,11591000,4
2995,2343,2,3,1,21,5,14657500,2
3187,2700,4,1,1,23,4,15631500,2
1371,830,3,2,0,10,5,7519500,3
2029,1796,4,3,1,6,8,11360500,2
2723,2067,2,2,0,12,8,13413500,2
1178,1043,2,2,0,13,4,6241000,4
2115,1754,1,3,0,6,8,10697500,3
793,512,5,2,0,21,4,5248500,4
2607,1693,5,1,1,10,4,13581500,1
1785,1260,4,3,0,19,8,9852500,1
2994,2033,3,1,1,19,2,14443000,1
1984,1451,3,1,1,24,4,9898000,3
2392,1868,1,2,0,10,1,11314000,2
1710,1249,2,2,0,20,1,8345000,3
2861,1765,1,1,1,8,8,13764500,3
2536,2263,5,3,1,26,4,13342000,2
3220,2342,2,1,0,27,6,15050000,4
1379,1179,1,1,0,24,5,6475500,1
861,535,4,2,0,3,10,5914500,4
1329,1120,5,2,1,1,6,8310500,1
882,575,3,1,0,1,4,5249000,3
2090,1679,1,1,0,24,4,9625000,1
961,767,5,2,0,8,7,6414500,3
1040,907,5,1,0,18,1,6070000,4
2740,1907,3,2,1,14,9,13950000,3
2244,1419,3,1,1,20,10,11448000,4
3400,2921,3,3,0,20,3,16550000,2
1466,1025,1,3,1,17,4,7507000,2
2047,1370,3,1,0,15,9,10461500,2
741,552,4,2,1,1,5,5314500,3
1914,1232,5,1,1,25,4,10163000,2
2055,1416,3,1,0,11,6,10427500,1
3396,2430,5,2,0,28,1,16672000,4
2475,1690,2,1,0,0,10,12437500,4
2447,1798,2,2,0,1,1,12041500,1
2312,1653,3,1,1,13,5,11644000,3
3300,2746,5,2,0,26,5,16480000,3
1300,1138,2,1,0,6,9,6980000,4
1597,1006,3,3,0,16,1,8416500,2
2696,2283,5,2,0,14,3,13902000,3
1925,1693,3,3,0,16,3,9992500,3
1480,1192,5,2,0,8,4,8600000,1
1813,1629,2,2,1,12,7,9418500,1
1759,1232,3,2,0,1,7,9545500,2
1154,979,2,2,1,26,10,6323000,3
1003,804,3,1,0,14,5,5583500,3
1491,1039,1,1,1,19,9,7429500,1
1201,974,2,2,1,10,7,6704500,3
2430,1829,2,1,1,18,2,11625000,4
940,617,4,2,0,13,3,5720000,1
2568,1674,2,2,1,26,7,12536000,2
1303,1060,5,3,0,3,5,8153500,1
917,746,3,2,1,26,7,5406500,3
3265,2478,1,2,0,29,9,15262500,2
1986,1490,5,1,0,10,9,10887000,1
3029,1981,5,2,1,15,3,15530500,4
2880,2098,5,2,0,22,8,14820000,4
2400,2067,5,3,1,25,6,12850000,1
1967,1684,1,1,1,29,4,9121500,4
2172,1733,4,1,0,1,4,11354000,4
1416,1273,2,3,1,1,4,7902000,4
1152,999,5,2,0,8,7,7274000,2
1455,936,2,3,1,21,6,7777500,4
2412,1736,2,1,0,26,2,11234000,4
3466,2216,5,3,0,22,5,17507000,4
782,578,4,1,0,20,5,4769000,2
2174,1810,2,3,1,28,6,10873000,1
996,644,3,2,0,20,7,5732000,3
2327,2010,2,2,0,3,8,11811500,4
3426,2640,5,1,0,7,10,17477000,1
2117,1745,1,3,0,22,8,10386500,4
1506,924,2,1,0,25,5,7327000,2
1956,1228,4,2,0,17,2,10162000,1
2774,2181,3,1,0,14,10,13803000,2
600,510,3,2,0,1,8,4380000,4
618,532,1,1,0,21,6,3161000,4
1183,954,1,3,1,27,3,5983500,2
1055,696,2,2,0,10,4,5747500,3
2636,1735,5,1,0,16,1,13292000,2
1732,1497,4,2,0,6,3,9424000,4
3092,1960,3,3,1,7,4,15624000,2
2552,2056,1,2,0,29,2,11704000,3
3249,2469,4,3,0,9,6,16540500,2
2750,1997,5,2,1,23,8,14365000,3
1587,1161,3,3,1,2,6,9051500,3
1119,988,3,2,1,12,10,6745500,2
1458,1251,5,3,0,22,3,8371000,2
773,664,3,1,0,16,9,4708500,1
1966,1419,5,1,0,12,4,10507000,4
3078,1945,3,2,0,26,6,14931000,3
1326,1192,2,3,1,18,4,7157000,1
2310,1486,5,1,1,28,4,11885000,2
2475,1867,4,2,0,21,2,12417500,4
3497,2375,2,1,1,8,10,17026500,1
2281,1718,4,3,0,20,2,11764500,3
1947,1346,3,2,0,28,2,9601500,1
1589,1380,4,3,0,15,2,8750500,3
3286,2926,2,3,0,29,8,15807000,2
1019,736,5,3,1,4,10,7255500,4
1193,740,1,1,1,8,4,6058500,4
3132,2502,4,2,0,27,4,15354000,4
2374,1692,1,3,0,8,10,11923000,2
3059,2740,4,1,1,5,10,15715500,3
1535,962,4,3,1,20,3,8607500,2
1707,1085,5,1,0,9,5,9451500,4
1736,1405,3,2,1,17,4,9122000,2
931,770,2,2,1,10,7,5489500,2
3302,2447,2,2,1,23,10,16049000,2
2688,1836,2,2,0,27,7,12906000,3
2393,1658,3,3,1,23,6,12258500,1
1558,1092,1,1,1,14,7,7731000,1
704,469,2,2,1,6,7,4548000,2
801,685,1,3,1,13,8,4794500,1
3097,1918,3,2,1,7,1,15296500,1
2442,1763,3,2,0,18,3,12079000,2
2466,2032,5,2,1,14,3,13017000,2
2596,1560,2,1,1,18,5,12522000,4
1889,1630,5,1,1,17,10,10510500,1
1509,1225,2,1,1,16,7,7770500,3
809,503,3,2,0,2,10,5400500,2
1162,1009,3,3,0,2,6,6989000,4
3360,2507,4,3,0,6,4,17000000,3
2163,1721,4,3,1,27,6,11443500,1
1370,1184,3,2,1,9,7,7785000,4
3101,2680,3,1,0,24,4,14774500,2
3314,2394,1,3,0,27,8,15673000,3
1228,824,1,2,0,16,5,6156000,2
2228,1508,5,2,0,14,3,11796000,1
2301,1909,4,3,0,7,2,12114500,3
986,866,4,3,0,16,1,5967000,1
2535,1575,3,2,1,2,4,13017500,1
2943,1779,3,3,1,3,2,14933500,4
2905,2460,5,2,0,26,3,14602500,2
1704,1220,4,3,1,7,1,9528000,3
867,592,1,1,1,12,6,4611500,1
3066,2012,2,2,0,0,4,14997000,1
2882,2028,5,1,0,27,5,14379000,3
2456,2189,2,3,1,17,8,12462000,1
2598,2320,1,2,1,10,4,12541000,4
1980,1384,1,3,1,20,6,9860000,4
1836,1632,2,2,0,5,3,9312000,4
1173,809,5,3,1,15,8,7628500,4
648,554,2,1,0,20,3,3466000,1
1750,1161,5,1,0,28,7,9365000,3
822,697,5,3,1,18,7,5939000,3
2031,1434,3,1,0,25,3,9889500,3
2128,1401,4,1,0,22,3,10686000,3
2419,2129,4,3,0,27,10,12645500,2
2924,1942,1,2,1,16,10,14188000,3
2061,1849,3,3,1,17,8,10984500,2
1730,1094,4,2,1,10,3,9485000,2
2281,1375,5,1,0,13,2,11804500,4
3067,2641,5,1,1,11,5,15681500,2
3258,2528,2,1,0,24,7,15331000,1
974,707,2,1,1,29,8,5153000,2
2720,1698,5,1,0,19,1,13610000,4
2621,2024,5,2,1,23,2,13484500,2
1653,1187,2,2,1,24,7,8458500,1
2489,1854,4,2,0,6,9,13130500,1
2423,1912,1,3,0,16,3,11633500,1
2074,1642,2,1,1,4,8,10603000,4
2842,2524,4,1,1,21,10,14419000,4
1779,1417,4,1,0,13,3,9295500,3
3494,2452,4,3,1,26,4,17353000,4
1664,1162,3,3,0,23,2,8628000,1
2670,1984,3,3,0,25,9,13465000,1
959,650,4,1,0,12,5,5725500,4
3207,2286,5,2,0,23,5,16121500,2
3319,2829,3,3,0,28,4,16075500,4
2641,2265,2,3,0,11,5,13114500,4
1741,1372,3,2,0,13,1,8924500,1
2235,1731,5,3,0,24,10,12177500,3
2003,1458,1,2,0,8,10,10053500,1
2543,2010,3,1,0,3,6,12783500,3
1278,1075,4,2,0,21,4,7131000,1
3087,2535,4,2,0,18,4,15331500,4
606,370,4,1,0,0,5,4377000,1
3068,2513,1,3,0,28,1,14196000,1
2191,1787,5,1,0,12,4,11519500,1
1432,901,2,3,0,5,10,8044000,4
3206,2068,5,3,1,0,3,16827000,4
2410,2015,1,2,1,24,5,11465000,4
1513,1161,4,1,0,26,10,8188500,4
2611,2210,5,2,1,21,5,13629500,3
2042,1338,2,1,1,16,8,10219000,3
2050,1248,4,1,1,26,1,10305000,2
2102,1363,2,2,0,28,3,10049000,4
725,533,3,3,0,2,5,4972500,3
3042,2302,2,3,0,16,3,14719000,1
1416,1213,4,1,1,1,6,8202000,4
2429,1979,3,3,1,21,10,12660500,2
1175,1054,4,2,0,6,3,6917500,2
2972,1853,4,2,1,0,6,15424000,2
2015,1287,3,2,1,25,8,10417500,1
1529,956,2,1,0,20,4,7480500,3
2063,1571,1,1,1,21,8,9913500,1
1432,973,1,3,1,14,7,7564000,4
1654,1331,1,2,0,3,4,8283000,2
2248,1438,1,2,1,5,3,11016000,1
2500,1577,5,1,0,20,5,12800000,1
2057,1518,1,1,0,12,5,9766500,3
3484,2483,3,1,0,28,7,16568000,3
1999,1696,1,2,0,26,1,9225500,2
1042,887,4,2,0,22,9,6299000,1
2722,1729,1,3,0,12,2,13009000,1
1156,975,2,2,0,19,9,6272000,3
1778,1367,3,3,1,0,9,10101000,1
2637,1980,3,3,0,1,3,13496500,1
962,604,5,2,1,5,7,6629000,1
3095,2543,4,3,1,29,3,15447500,3
1857,1147,3,3,0,28,8,9696500,2
2441,1667,2,1,1,25,8,11834500,4
2909,1828,1,2,0,28,3,13380500,2
2450,1860,3,3,0,10,5,12575000,4
2772,2199,2,3,0,17,7,13684000,1
1510,1309,1,3,0,12,1,7505000,2
844,692,5,2,0,20,3,5448000,4
1141,1013,3,1,0,11,1,6064500,3
3132,2594,3,1,1,19,2,15064000,3
2769,1909,2,2,1,6,7,13840500,2
2772,2118,4,2,1,19,7,14194000,2
2172,1601,5,2,1,6,3,11854000,1
2817,2168,4,2,1,26,6,14206500,2
723,557,3,1,0,23,6,4193500,1
3293,2669,4,3,1,6,2,16748500,1
2331,1456,1,3,0,1,9,11819500,3
1385,1141,5,2,0,10,8,8332500,3
2643,1699,4,2,0,0,2,13593500,4
2848,1731,1,3,0,20,4,13516000,3
3016,2279,2,1,0,28,9,14262000,3
1396,1081,4,2,0,12,4,7842000,2
676,412,5,2,0,11,7,5072000,3
658,496,1,1,1,12,5,3621000,4
3078,2340,4,1,0,6,10,15631000,2
3285,2022,2,1,0,11,6,15662500,4
2123,1727,4,2,1,16,1,11033500,3
2536,1681,1,1,1,26,4,11742000,4
2756,2310,4,2,0,7,5,14112000,2
1901,1317,5,2,1,2,6,10864500,1
667,495,3,1,0,6,6,4281500,4
2952,2561,1,3,0,18,5,14074000,4
2532,2131,1,1,0,19,3,11664000,2
3321,2771,1,3,0,7,2,15804500,2
964,624,1,1,1,13,7,5078000,4
1420,872,4,1,1,13,1,7730000,3
2002,1565,5,2,1,1,5,11289000,4
2990,2162,2,2,0,5,4,14555000,2
1546,1349,5,2,0,15,7,8907000,1
